tv_show,season_num,season_url,episode_num,episode_url,episode_title,air_date
Gossip Girl Wiki | Fandom,3,https://gossipgirl.fandom.com/wiki/Season_3,4,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Dan_de_Fleurette,Dan de Fleurette,2009-10-05
Gossip Girl Wiki | Fandom,3,https://gossipgirl.fandom.com/wiki/Season_3,5,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Rufus_Getting_Married,Rufus Getting Married,2009-10-12
Gossip Girl Wiki | Fandom,3,https://gossipgirl.fandom.com/wiki/Season_3,6,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Enough_About_Eve,Enough About Eve,2009-10-19
Gossip Girl Wiki | Fandom,3,https://gossipgirl.fandom.com/wiki/Season_3,7,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/How_to_Succeed_in_Bassness,How to Succeed in Bassness,2009-10-26
Gossip Girl Wiki | Fandom,3,https://gossipgirl.fandom.com/wiki/Season_3,8,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/The_Grandfather:_Part_II,The Grandfather: Part II,2009-11-02
Gossip Girl Wiki | Fandom,3,https://gossipgirl.fandom.com/wiki/Season_3,9,"https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/They_Shoot_Humphreys,_Don%27t_They%3F","They Shoot Humphreys, Don't They?",2009-11-09
Gossip Girl Wiki | Fandom,3,https://gossipgirl.fandom.com/wiki/Season_3,10,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/The_Last_Days_of_Disco_Stick,The Last Days of Disco Stick,2009-11-16
Gossip Girl Wiki | Fandom,3,https://gossipgirl.fandom.com/wiki/Season_3,11,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/The_Treasure_of_Serena_Madre,The Treasure of Serena Madre,2009-11-30
Gossip Girl Wiki | Fandom,3,https://gossipgirl.fandom.com/wiki/Season_3,12,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/The_Debarted,The Debarted,2009-12-07
Gossip Girl Wiki | Fandom,3,https://gossipgirl.fandom.com/wiki/Season_3,13,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/The_Hurt_Locket,The Hurt Locket,2010-03-08
Gossip Girl Wiki | Fandom,3,https://gossipgirl.fandom.com/wiki/Season_3,14,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/The_Lady_Vanished,The Lady Vanished,2010-03-15
Gossip Girl Wiki | Fandom,3,https://gossipgirl.fandom.com/wiki/Season_3,15,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/The_Sixteen_Year_Old_Virgin,The Sixteen Year Old Virgin,2010-03-22
Gossip Girl Wiki | Fandom,3,https://gossipgirl.fandom.com/wiki/Season_3,16,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/The_Empire_Strikes_Jack,The Empire Strikes Jack,2010-03-29
Gossip Girl Wiki | Fandom,3,https://gossipgirl.fandom.com/wiki/Season_3,17,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Inglourious_Bassterds,Inglourious Bassterds,2010-04-05
Gossip Girl Wiki | Fandom,3,https://gossipgirl.fandom.com/wiki/Season_3,18,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/The_Unblairable_Lightness_of_Being,The Unblairable Lightness of Being,2010-04-12
Gossip Girl Wiki | Fandom,3,https://gossipgirl.fandom.com/wiki/Season_3,19,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Dr._Estrangeloved,Dr. Estrangeloved,2010-04-26
Gossip Girl Wiki | Fandom,3,https://gossipgirl.fandom.com/wiki/Season_3,20,"https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/It%27s_a_Dad,_Dad,_Dad,_Dad_World","It's a Dad, Dad, Dad, Dad World",2010-05-03
Gossip Girl Wiki | Fandom,3,https://gossipgirl.fandom.com/wiki/Season_3,21,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Ex-Husbands_and_Wives,Ex-Husbands and Wives,2010-05-10
Gossip Girl Wiki | Fandom,3,https://gossipgirl.fandom.com/wiki/Season_3,22,"https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Last_Tango,_Then_Paris","Last Tango, Then Paris",2010-05-17
Gossip Girl Wiki | Fandom,4,https://gossipgirl.fandom.com/wiki/Season_4,1,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Belles_de_Jour,Belles de Jour,2010-09-13
Gossip Girl Wiki | Fandom,4,https://gossipgirl.fandom.com/wiki/Season_4,2,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Double_Identity,Double Identity,2010-09-20
Gossip Girl Wiki | Fandom,4,https://gossipgirl.fandom.com/wiki/Season_4,3,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/The_Undergraduates,The Undergraduates,2010-09-27
Gossip Girl Wiki | Fandom,4,https://gossipgirl.fandom.com/wiki/Season_4,4,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Touch_of_Eva,Touch of Eva,2010-10-04
Gossip Girl Wiki | Fandom,4,https://gossipgirl.fandom.com/wiki/Season_4,5,"https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Goodbye,_Columbia","Goodbye, Columbia",2010-10-11
Gossip Girl Wiki | Fandom,4,https://gossipgirl.fandom.com/wiki/Season_4,6,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Easy_J,Easy J,2010-10-25
Gossip Girl Wiki | Fandom,4,https://gossipgirl.fandom.com/wiki/Season_4,7,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/War_at_the_Roses,War at the Roses,2010-11-01
Gossip Girl Wiki | Fandom,4,https://gossipgirl.fandom.com/wiki/Season_4,8,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Juliet_Doesn%27t_Live_Here_Anymore,Juliet Doesn't Live Here Anymore,2010-11-08
Gossip Girl Wiki | Fandom,4,https://gossipgirl.fandom.com/wiki/Season_4,9,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/The_Witches_of_Bushwick,The Witches of Bushwick,2010-11-15
Gossip Girl Wiki | Fandom,4,https://gossipgirl.fandom.com/wiki/Season_4,10,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Gaslit,Gaslit,2010-11-29
Gossip Girl Wiki | Fandom,4,https://gossipgirl.fandom.com/wiki/Season_4,11,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/The_Townie,The Townie,2010-12-06
Gossip Girl Wiki | Fandom,4,https://gossipgirl.fandom.com/wiki/Season_4,12,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/The_Kids_Are_Not_Alright,The Kids Are Not Alright,2011-01-24
Gossip Girl Wiki | Fandom,4,https://gossipgirl.fandom.com/wiki/Season_4,13,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Damien_Darko,Damien Darko,2011-01-31
Gossip Girl Wiki | Fandom,4,https://gossipgirl.fandom.com/wiki/Season_4,14,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Panic_Roommate,Panic Roommate,2011-02-07
Gossip Girl Wiki | Fandom,4,https://gossipgirl.fandom.com/wiki/Season_4,15,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/It-Girl_Happened_One_Night,It-Girl Happened One Night,2011-02-14
Gossip Girl Wiki | Fandom,4,https://gossipgirl.fandom.com/wiki/Season_4,16,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/While_You_Weren%27t_Sleeping,While You Weren't Sleeping,2011-02-21
Gossip Girl Wiki | Fandom,4,https://gossipgirl.fandom.com/wiki/Season_4,17,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Empire_of_the_Son,Empire of the Son,
Gossip Girl Wiki | Fandom,4,https://gossipgirl.fandom.com/wiki/Season_4,18,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/The_Kids_Stay_in_the_Picture,The Kids Stay in the Picture,2011-04-18
